# r[L0]  F[rad]  Fp[rad/L0]
1.084783999999996196e+00 1.558732090973657947e+00 -8.974204959138551985e-01
1.089782999999996171e+00 1.554248209228870303e+00 -8.964922212294481607e-01
1.094781999999996147e+00 1.549768949499946258e+00 -8.955712955899235439e-01
1.099780999999996123e+00 1.545294275409941465e+00 -8.946575748213725365e-01
1.104779999999996098e+00 1.540824151299261091e+00 -8.937509160937077146e-01
1.109778999999996074e+00 1.536358542219042222e+00 -8.928511778808917443e-01
1.114777999999996050e+00 1.531897413924732332e+00 -8.919582199220644769e-01
1.119776999999996026e+00 1.527440732869859596e+00 -8.910719031835452331e-01
1.124775999999996001e+00 1.522988466199992175e+00 -8.901920898216838518e-01
1.129774999999995977e+00 1.518540581746880003e+00 -8.893186431465393005e-01
1.134773999999995953e+00 1.514097048022776004e+00 -8.884514275863615307e-01
1.139772999999995928e+00 1.509657834214934269e+00 -8.875903086528562635e-01
1.144771999999995904e+00 1.505222910180278761e+00 -8.867351529072108329e-01
1.149770999999995880e+00 1.500792246440239897e+00 -8.858858279268623237e-01
1.154769999999995855e+00 1.496365814175756537e+00 -8.850422022729871330e-01
1.159768999999995831e+00 1.491943585222437640e+00 -8.842041454586950788e-01
1.164767999999995807e+00 1.487525532065881562e+00 -8.833715279179087387e-01
1.169766999999995782e+00 1.483111627837149893e+00 -8.825442209749122524e-01
1.174765999999995758e+00 1.478701846308390522e+00 -8.817220968145516036e-01
1.179764999999995734e+00 1.474296161888609458e+00 -8.809050284530725028e-01
1.184763999999995709e+00 1.469894549619585655e+00 -8.800928897095785519e-01
1.189762999999995685e+00 1.465496985171928168e+00 -8.792855551780968115e-01
1.194761999999995661e+00 1.461103444841270749e+00 -8.784829002002360054e-01
1.199760999999995637e+00 1.456713905544601451e+00 -8.776848008384240396e-01
1.204759999999995612e+00 1.452328344816725458e+00 -8.768911338497119567e-01
1.209758999999995588e+00 1.447946740806856702e+00 -8.761017766601323364e-01
1.214757999999995564e+00 1.443569072275336485e+00 -8.753166073396000391e-01
1.219756999999995539e+00 1.439195318590476891e+00 -8.745355045773441915e-01
1.224755999999995515e+00 1.434825459725524333e+00 -8.737583476578603126e-01
1.229754999999995491e+00 1.430459476255743656e+00 -8.729850164373729182e-01
1.234753999999995466e+00 1.426097349355617272e+00 -8.722153913207983944e-01
1.239752999999995442e+00 1.421739060796159082e+00 -8.714493532391986985e-01
1.244751999999995418e+00 1.417384592942339649e+00 -8.706867836277173422e-01
1.249750999999995393e+00 1.413033928750620172e+00 -8.699275644039888844e-01
1.254749999999995369e+00 1.408687051766593923e+00 -8.691715779470141623e-01
1.259748999999995345e+00 1.404343946122731390e+00 -8.684187070764932681e-01
1.264747999999995320e+00 1.400004596536227996e+00 -8.676688350326099419e-01
1.269746999999995296e+00 1.395668988306951963e+00 -8.669218454562592768e-01
1.274745999999995272e+00 1.391337107315489208e+00 -8.661776223697135180e-01
1.279744999999995247e+00 1.387008940021284609e+00 -8.654360501577190723e-01
1.284743999999995223e+00 1.382684473460876307e+00 -8.646970135490198439e-01
1.289742999999995199e+00 1.378363695246221488e+00 -8.639603975983007889e-01
1.294741999999995175e+00 1.374046593563110763e+00 -8.632260876685476925e-01
1.299740999999995150e+00 1.369733157169670923e+00 -8.624939694138176183e-01
1.304739999999995126e+00 1.365423375394951400e+00 -8.617639287624162536e-01
1.309738999999995102e+00 1.361117238137595109e+00 -8.610358519004785993e-01
1.314737999999995077e+00 1.356814735864589005e+00 -8.603096252559487844e-01
1.319736999999995053e+00 1.352515859610095683e+00 -8.595851354829563418e-01
1.324735999999995029e+00 1.348220600974359584e+00 -8.588622694465855023e-01
1.329734999999995004e+00 1.343928952122690479e+00 -8.581409142080350660e-01
1.334733999999994980e+00 1.339640905784519331e+00 -8.574209570101669620e-01
1.339732999999994956e+00 1.335356455252525221e+00 -8.567022852634410546e-01
1.344731999999994931e+00 1.331075594381832206e+00 -8.559847865322341987e-01
1.349730999999994907e+00 1.326798317589272802e+00 -8.552683485215430981e-01
1.354729999999994883e+00 1.322524619852717853e+00 -8.545528590640690814e-01
1.359728999999994858e+00 1.318254496710469681e+00 -8.538382061076837948e-01
1.364727999999994834e+00 1.313987944260716523e+00 -8.531242777032761460e-01
1.369726999999994810e+00 1.309724959161047364e+00 -8.524109619929791659e-01
1.374725999999994785e+00 1.305465538628024502e+00 -8.516981471987775665e-01
1.379724999999994761e+00 1.301209680436811844e+00 -8.509857216114957712e-01
1.384723999999994737e+00 1.296957382920857604e+00 -8.502735735801669748e-01
1.389722999999994713e+00 1.292708644971629184e+00 -8.495615915017842301e-01
1.394721999999994688e+00 1.288463466038398231e+00 -8.488496638114343407e-01
1.399720999999994664e+00 1.284221846128074107e+00 -8.481376789728157783e-01
1.404719999999994640e+00 1.279983785805083318e+00 -8.474255254691421824e-01
1.409718999999994615e+00 1.275749286191294463e+00 -8.467130917944334367e-01
1.414717999999994591e+00 1.271518348965984924e+00 -8.460002664451956589e-01
1.419716999999994567e+00 1.267290976365848199e+00 -8.452869379124927640e-01
